"","x"
"1","Please join us today and make 2 calls to help #StopTorture, #FreeRaif &amp; demand #RahmRepNow! http://t.co/AWwvbqS4Ko http://t.co/Lrfv60n9Wx"
"2","Raif was not flogged today. We are not sure why but he remains at risk in prison. http://t.co/sHjC4PkVZf #FreeRaif http://t.co/jNfkBkoYx3"
"3","Tell #Louisiana Governor @BobbyJindal to help #FreeAlbertWoodfox who has spent 42 years in solitary confinement! http://t.co/Ow3x22TJCv"
"4","Re-indictment of #AlbertWoodfox further suggests @BuddyCaldwell letting vengeance get in the way of justice. http://t.co/nqL6DKtDKR"
"5","Tomorrow's horrific flogging of @raif_badawi MUST stop now! http://t.co/dAfzKnDSLq
I2kBt @SaudiEmbassyUSA #FreeRaif http://t.co/wBxbYZoa4g"
"6",".@BobbyJindal, after 42 yrs in solitary confinement end the cruelty &amp; help #FreeAlbertWoodfox! http://t.co/Ow3x23bl15 http://t.co/k2oQAmBY7c"
"7","Please act now for @raif_badawi to help stop the flogging &amp; #FreeRaif! @SaudiEmbassyUSA http://t.co/8Ta4YDCtRd http://t.co/RZR2oznPia"
"8","#BlackLivesMatter: Justice for Darrell Cannon &amp; his fellow #Chicago Police torture survivors. http://t.co/LEWdKSMsZo http://t.co/a5OrWiZDsG"
"9","@power_v Thanks so much for your support, Anne!"
"10","@bearcuisinenm Thanks for your support, Anne!"
"11","@steveh721 Thanks for your support, Steve!"
"12","@NckWn Thanks again for your support, Nicholas!"
"13","@IJDjurkin Thanks for your support!"
"14","@AnneLevine Thanks for your support, Anne!"
"15","@TSJD Thanks for your support, Tom!"
"16","@czuphigh Thanks for your support, Carol!"
"17","@MaresJH Thanks for your support, Mares!"
"18","@BranCrwydryn Thanks for your support, Peter!"
"19","@Salandthebadpun Thanks so much for your support, Sal!"
"20","@karenlangan Thanks again for your support, Karen!"
"21","@info13142598 Thanks again for your support, Patricia!"
"22","@NOHIVO ahora - tres :)"
"23","@NYCHRP Thanks for a great event!"
"24","@NickWickham Thanks so much for your support, Nicholas!"
"25","@bikehara Thanks again for your support, Becky!"
"26","@teepeewest Thanks again for your support! It's people like you that keep the hope and the fight going to #FreeRaif."
"27","@dirtywater22 Thanks again for your support, Aaliyah!"
"28","@JuliaAdair Thanks so much for your support, Julia!"
"29","@CarlNorman Thanks for your support, Carl - love the bio!"
"30","@miss_deejay Thanks so much for your support, Melissa!"
"31","@LaborMI Thanks again for your support Michelle!"
"32","@FongSouad Thanks so much for your support, Souad!"
"33","@NormaAshe Thanks so much for your support, Gail!"
"34","“I will not allow even one more woman to be tortured in #Mexico.” - Claudia http://t.co/6oXZpj6gFO #StopTorture http://t.co/e1dbCqMyAQ"
"35","Monk suffered severe burns after police used white phosphorus on peaceful protesters  http://t.co/tHSTVs9KBl #Myanmar http://t.co/AD9shVdLa3"
