"","x"
"1","Vegan travelers, REJOICE! Ì†ΩÌπå

@VeggieHotels lists #vegan &amp; #vegetarian B&amp;Bs, hotels &amp; spas in 60 countries, incl US: http://t.co/hOb5gaZrOr"
"2","PETA's Top 7 #ValentinesDay Ads: http://t.co/mEVOHmsiKE

The last one ALWAYS gets a big reaction! http://t.co/0c0ZGFBf36"
"3","@merry_sheila For the true story &amp; to see why PETA supports euthanasia: http://t.co/pGB1LXtahI  http://t.co/9E3mUuN8R4"
"4","@PawstinTexas ""No-kill"" shelters turn animals in need away. They kill them slowly: http://t.co/8bvLjqzp8x"
"5","@SPBASS1 Orcas are wild animals not domestic. We want her sent to a coastal sanctuary."
"6","@maytegarcia #FreeLolita 30+ yrs w/o ‚ù§ is 2 long

Help share her story by sending a #VDay msg http://t.co/wwHMMzfNxF http://t.co/i7ecnGnTqf"
"7","@TrendTracker #FreeLolita 30+ yrs w/o ‚ù§ is 2 long

Help share her story by sending a #VDay msg http://t.co/wwHMMzfNxF http://t.co/pk1hCDYAd5"
"8","@azarpablo #FreeLolita 30+ yrs w/o ‚ù§ is 2 long

Help share her story by sending a #VDay msg http://t.co/wwHMMzfNxF http://t.co/GZWSnZRkwp"
"9","@MikeWardca #FreeLolita 30+ yrs w/o ‚ù§ is 2 long

Help share her story by sending a #VDay msg http://t.co/wwHMMzfNxF http://t.co/2rAR0zq4Ab"
"10","@_solrodriguez #FreeLolita 30 yrs w/o ‚ù§ is 2 long

Help share her story by sending a #VDay msg http://t.co/wwHMMzfNxF http://t.co/Go3koZuAtL"
"11","@HarryCook #FreeLolita 30+ yrs w/o ‚ù§ is 2 long

Help share her story by sending a #VDay msg http://t.co/wwHMMzfNxF http://t.co/a7edyrnDLc"
"12","@kathynajimy #FreeLolita 30+ yrs w/o ‚ù§ is 2 long

Help share her story by sending a #VDay msg http://t.co/wwHMMzfNxF http://t.co/MBYaNweSEo"
"13","@mattsorum #FreeLolita 30+ yrs w/o ‚ù§ is 2 long

Help share her story by sending a #VDay msg http://t.co/wwHMMzfNxF http://t.co/x8OVz8qylZ"
"14","@Tonykanal #FreeLolita 30+ yrs w/o ‚ù§ is 2 long

Help share her story by sending a #VDay msg http://t.co/wwHMMzfNxF http://t.co/nYimJgTgsw"
"15","@Vandiekins22 #FreeLolita 30+ yrs w/o ‚ù§ is 2 long

Help share her story by sending a #VDay msg http://t.co/wwHMMzfNxF http://t.co/XeBFH8sFNc"
"16","@simonereyes #FreeLolita 30+ yrs w/o ‚ù§ is 2 long

Help share her story by sending a #VDay msg http://t.co/wwHMMzfNxF http://t.co/b3tiRlDvzf"
"17","@H_Combs #FreeLolita 30+ yrs w/o ‚ù§ is 2 long

Help share her story by sending a #VDay msg http://t.co/wwHMMzfNxF http://t.co/Fj38aPKcvY"
"18","ATTN #Calgary #Edmonton #Saskatoon #Regina:

Would YOU #RatherGoNaked than wear #leather?

Contact: EmilyL@peta.org http://t.co/pTkhb8v1Lr"
"19","@joannakrupa #FreeLolita 30+ yrs w/o ‚ù§ is 2 long

Help share her story by sending a #VDay msg http://t.co/wwHMMzfNxF http://t.co/3iWKu01eMt"
"20","@ochocinco #FreeLolita 30+ yrs w/o ‚ù§ is 2 long

Help us share her story by sending a #VDay msg http://t.co/wwHMMzfNxF http://t.co/nsi2cMQNsg"
"21","Amy, a PIG, is the star of her DOG agility class Ì†ºÌºü

Just wait until u see her on the see-saw! Ì†ΩÌ∏É http://t.co/mnoBidzpLC

#FriendsNotFood"
"22","@DohertyShannen You're such a good friend :) @H_Combs is lucky to have your support &amp; the animals appreciate both of your voices ‚ù§"
"23","#ValentinesDay is TMRW.

Lolita been w/o a valentine for 30+ YRS.

SEND HER ‚ù§Ô∏è: http://t.co/9wvAm3aTXZ #FreeLolita http://t.co/bLsw8Aq9Dp"
"24","@melissaantgarza So sad! :( More info: http://t.co/x0ONGA6LBw Alternatives: http://t.co/9JNUijYOBB"
"25","@edenxo YES YES! We're addicted to thin mints as well ‚ò∫ ‚ò∫ #Vegan minty perfection ‚ù§"
"26","@nicolaerobescu Please take a look at this link &amp; read about the fate of animals refused at ""no-kill"" shelters: http://t.co/8bvLjqzp8x"
"27","@KimberlyPekula He is so cute! &lt;3 That's great! If you need any tips or recipes check out this link: http://t.co/fQQ65CgBfJ"
"28","@joeyracano &lt;3"
"29","@abella_couture Love it! Thanks for sharing! &lt;3"
"30","@MsTren_Dee Glad to hear it! &lt;3"
"31","@LisaRoutel That's so great to hear! &lt;3"
"32","@saurab2686 Hope this helps explain why we do what we do: https://t.co/MmdBNfmzlt"
"33","@AuroreLoaec AWW! &lt;3"
"34","@KeshaTedder Agreed! &lt;3"
"35","@amber_wallace75 Thanks for your support! &lt;3"
"36","@Manicmo2014 Sadly, these companies use independant fur farms. :("
"37","@daveshaw1976 For the true story &amp; to see why PETA supports euthanasia: http://t.co/pGB1LXtahI  http://t.co/9E3mUuN8R4"
"38","@autcru 3-4 million animals are euthanized in shelters each year in the US because there aren't enough homes. http://t.co/pGB1LXtahI"
"39","@AnimalRightsPrt For the true story &amp; to see why PETA supports euthanasia: http://t.co/pGB1LXtahI  http://t.co/9E3mUuN8R4"
"40","@KaylaVegan These are our apps: https://t.co/qDnWv5r8dO"
"41","@JstAnAucklander That's awful! :( Send us an email at peta2@peta2.com with all the info &amp; someone will get back to you. &lt;3"
"42","@rickygervais Gotta love everything about this video! You &amp; @Pink were awesome! TY for sharing this, the animals appreciate your voice ‚ù§"
"43","@missing_chapter We believe that women and men should be able to use their own bodies in order to make social statements."
"44","@missing_chapter Everyone in our ads volunteers to use their bodies &amp; voice to help animals &amp; promote education: http://t.co/Lg2mh0T1tU"
"45","@Lucaay_xox He is SO cute! &lt;3 Thank you for choosing adoption!"
"46","URGENT:

#PraiseWave is THIS WKND!

Tell @StevenCurtis @lecrae &amp; more 2 CANCEL #SeaWorld show: http://t.co/bwJ5UisW2P http://t.co/6rxhg42MFG"
"47","@CutieSplinter That's awesome!! Saving lives and feeling good! What could be better? &lt;3"
"48","@Neilfan12 Most animals housed in zoos aren't endangered. Only 1,200 zoos out of 10,000 worldwide are registered for captive breeding."
"49","@JJ_Destiny 6-8 million animals are brought in to U.S. shelters every year. 3-4 million animals are euthanized for lack of homes."
"50","@marti_nita For the true story &amp; to see why PETA supports euthanasia: http://t.co/pGB1LXtahI  http://t.co/9E3mUuN8R4"
"51","@pukypower That's horrible! :("
"52","@MoetheBeaver We do care: http://t.co/kwP0gSha1C"
"53","@Lucaay_xox No. Most of us at PETA have several pets. We encourage anyone with the love, means, &amp; time to adopt! http://t.co/lg0rguRSWw"
"54","#Reasons2GoVegan: http://t.co/Uf0f3tp9Z6 http://t.co/03wztLOI6Y"
"55","How can we END animal homelessness?

By NOT bringing homeless animals into the world.

#SpayAndNeuter http://t.co/CjlcuTFVCK"
